mesto,tekmovalka,tekma
1,6197,1
2,6113,1
3,7072,1
4,6198,1
5,6470,1
6,7477,1
7,6043,1
8,7183,1
9,5855,1
10,7608,1
11,7154,1
12,4130,1
13,5754,1
14,6388,1
15,6867,1
16,7505,1
17,6596,1
18,6210,1
19,1952,1
20,7267,1
21,8446,1
22,7372,1
23,7571,1
24,6548,1
25,6563,1
26,6595,1
27,5793,1
28,6875,1
29,7523,1
30,8269,1
31,6646,1
32,6397,1
33,7823,1
34,5917,1
35,7378,1
36,8148,1
37,7559,1
38,8524,1
,9345,1
,7739,1
1,5930,2
2,6113,2
3,6198,2
4,6043,2
5,5010,2
6,4130,2
7,7072,2
8,5714,2
9,5754,2
10,1952,2
11,6570,2
12,6210,2
13,1909,2
14,6470,2
15,6898,2
16,7477,2
17,6388,2
18,6503,2
19,5999,2
20,6600,2
21,7153,2
22,5855,2
23,5793,2
24,6596,2
25,6595,2
25,6563,2
27,6343,2
28,6013,2
29,2682,2
30,6197,2
31,6089,2
32,6090,2
33,1921,2
34,5388,2
35,7168,2
1,5010,3
2,4130,3
3,5498,3
4,6198,3
5,5388,3
6,4929,3
7,5754,3
8,5930,3
9,4893,3
10,4632,3
11,5000,3
12,6929,3
13,6090,3
14,6173,3
15,4637,3
16,6043,3
17,5793,3
18,5386,3
19,5917,3
20,6013,3
21,5999,3
22,4767,3
23,6113,3
24,5428,3
25,6570,3
26,5855,3
27,1913,3
28,7116,3
29,1921,3
30,6196,3
1,5930,4
2,6198,4
3,7072,4
4,7669,4
5,7477,4
6,6470,4
7,6043,4
8,6570,4
9,4130,4
10,1952,4
11,6197,4
12,6113,4
13,5754,4
14,8446,4
15,5883,4
16,7439,4
17,7739,4
18,6681,4
19,6664,4
20,5917,4
21,5793,4
22,7154,4
23,6595,4
24,7237,4
25,6875,4
26,7726,4
27,6867,4
28,7571,4
29,6210,4
30,7608,4
31,6563,4
32,6397,4
33,7378,4
34,7233,4
35,8148,4
36,7823,4
37,7078,4
38,9345,4
39,7735,4
40,7575,4
1,6470,5
2,5930,5
3,6198,5
4,7669,5
5,7072,5
6,7477,5
7,8446,5
8,4130,5
9,7439,5
10,6113,5
11,5754,5
12,6043,5
13,6197,5
14,5883,5
15,7523,5
16,7154,5
17,5917,5
18,6898,5
19,6867,5
20,6681,5
21,1952,5
22,6388,5
23,7608,5
24,6595,5
25,6875,5
26,6563,5
27,7571,5
28,7917,5
29,5793,5
30,5010,5
31,6397,5
32,7267,5
33,7237,5
34,7078,5
35,7505,5
36,7735,5
37,7801,5
38,7378,5
39,7575,5
,7739,5
1,5930,6
2,6113,6
3,4130,6
4,1952,6
5,7267,6
6,6198,6
7,7072,6
8,6197,6
9,6867,6
10,5010,6
11,7477,6
12,7726,6
13,6563,6
14,6898,6
15,5754,6
16,1909,6
17,6681,6
18,5714,6
18,7439,6
20,6595,6
21,7271,6
22,5855,6
23,7233,6
24,5883,6
25,7789,6
26,6570,6
27,1921,6
28,6388,6
29,7321,6
30,6013,6
31,7154,6
31,6875,6
33,7153,6
34,7378,6
35,6596,6
35,7579,6
37,6089,6
38,6791,6
39,7575,6
40,7078,6
1,5010,7
2,5754,7
3,6198,7
4,5930,7
5,6470,7
6,5251,7
7,1909,7
8,6113,7
9,4130,7
10,6570,7
11,6210,7
12,6043,7
13,7072,7
14,6388,7
15,6503,7
16,6090,7
17,4929,7
18,1921,7
19,5793,7
20,6013,7
21,6343,7
22,5855,7
23,5999,7
24,7153,7
25,7116,7
26,6595,7
27,6089,7
28,6598,7
29,6563,7
30,7476,7
31,7477,7
32,6649,7
33,5714,7
33,5388,7
35,6600,7
36,7224,7
37,6898,7
38,7597,7
39,7573,7
40,7574,7
1,5010,8
2,5754,8
3,4130,8
4,6198,8
5,6090,8
6,5999,8
7,1909,8
8,7267,8
9,4632,8
10,5855,8
11,6043,8
12,6089,8
13,4929,8
14,1952,8
15,5930,8
16,6570,8
17,6113,8
18,5331,8
19,4893,8
20,6595,8
21,5917,8
22,4767,8
23,5793,8
24,5000,8
25,6867,8
26,1913,8
27,5498,8
28,5428,8
29,5483,8
30,1921,8
31,6388,8
32,6013,8
33,5388,8
34,2682,8
35,6343,8
36,6210,8
37,6598,8
38,6600,8
39,6649,8
40,7078,8
1,5999,9
2,6198,9
3,1909,9
4,5498,9
5,5010,9
6,4632,9
7,4890,9
8,5388,9
9,6570,9
10,5793,9
11,4767,9
12,1921,9
13,5855,9
13,6043,9
15,6929,9
16,4637,9
17,6197,9
18,5000,9
19,4929,9
20,5754,9
21,5251,9
22,4798,9
23,5386,9
24,5204,9
25,5930,9
26,6343,9
27,5015,9
28,5483,9
29,6503,9
30,6600,9
31,1917,9
32,6113,9
33,2682,9
34,6660,9
35,5917,9
36,6186,9
37,4893,9
38,6013,9
39,1914,9
40,6647,9
41,6090,9
42,6598,9
43,6563,9
1,4130,10
2,1921,10
3,5498,10
4,1913,10
5,4929,10
6,6198,10
7,4538,10
8,5388,10
9,1953,10
10,4893,10
11,5930,10
12,4537,10
13,1912,10
14,4632,10
15,5754,10
16,5999,10
17,5793,10
18,6090,10
19,4767,10
20,4883,10
21,5855,10
22,4890,10
23,5015,10
24,2682,10
25,5387,10
26,5428,10
27,1917,10
28,5483,10
29,1914,10
30,1916,10
31,1952,10
32,1909,10
33,6013,10
34,4637,10
35,1911,10
36,5707,10
37,6043,10
38,5763,10
39,6599,10
40,6598,10
41,6265,10
42,6602,10
43,6231,10
1,4637,11
2,4767,11
3,4890,11
4,4130,11
5,5498,11
6,4632,11
7,5171,11
8,1911,11
9,4893,11
10,4538,11
11,5312,11
12,1909,11
13,5388,11
14,5386,11
15,1908,11
16,6173,11
17,5754,11
18,1912,11
19,4677,11
20,4883,11
21,5236,11
22,5930,11
23,5015,11
24,5005,11
25,4536,11
26,5793,11
27,1913,11
27,5483,11
29,5999,11
30,5855,11
31,5473,11
32,1921,11
33,5649,11
34,5853,11
35,1914,11
36,1919,11
1,5999,12
2,6198,12
3,4890,12
4,4637,12
5,4130,12
6,1909,12
7,4767,12
8,5388,12
9,5754,12
10,1953,12
11,4893,12
